,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
8466,2020-07-20 18:37:13,1285282630188126223,False,"#FuckYourFeelings® #S6 #E13 : So Smart You Dumb
#KanyeWest #Koonye #President #2020 #KimKardashian #Preggers… https://t.co/HQ7Wipn3Nh",Smackwater790,4-4 Texas,Twitter for Android,7,1238,2652,3
8467,2020-07-20 18:36:48,1285282526051868678,False,Kanye needs to be put back on his meds. #KanyeWest #KarenGoneWild,feistyfox420,Flori-DUH,Twitter for Android,0,195,313,0
8468,2020-07-20 18:36:34,1285282468510261255,False,RT @chases_space: Kanye after the latest attempt to “cancel” him #KanyeWest https://t.co/I6swjnMGuc,F8Afiya,up nicki minajs ass. 🦄,Twitter for iPhone,0,85,98,10
8469,2020-07-20 18:36:31,1285282454408851456,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",j_dubthekid,,Twitter for iPhone,0,148,1156,3778
8470,2020-07-20 18:36:25,1285282431080304640,False,#KanyeWest “brain too big for his skull” 🚮 https://t.co/ZCT4ixpjYL,bobmbori,Earth,Twitter for Android,1,1132,1150,0
8471,2020-07-20 18:36:13,1285282381138726913,False,RT @CaleJ11: Kanye West getting mad at his first campaign event LOL #KanyeWest #kanye2020 https://t.co/Kmsxlm2tzG,janaliman,"Barcelona, Spain",Twitter for iPhone,0,1098,448,97
8472,2020-07-20 18:36:07,1285282354156765186,False,RT @JawnMurray: Dear @KimKardashian: Your husband Kanye’s episode in South Carolina is beyond disturbing! His outburst about almost killing…,seriouslady72,,Twitter for Android,0,128,733,780
8473,2020-07-20 18:35:59,1285282321889767424,False,"So yes leaving off working for one WHITE MAN to go work for another WHITE MAN IS NOT FREEDOM! 

That’s all he was t… https://t.co/jZWNKej4ap",Malchiel144k,Babylon A.D. 2019,Twitter for iPhone,0,652,495,0
8474,2020-07-20 18:35:41,1285282248065978370,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",valerio_ronald,London England ,Twitter for Android,0,40,224,3778
8475,2020-07-20 18:35:35,1285282219464900609,False,Someone needs to take care of @kanyewest  he does not appear to be doing well and I am not saying this in an offens… https://t.co/HKqbILFxn7,wtfimadad,Phoeinx ,Twitter for iPhone,0,237,99,0
8476,2020-07-20 18:35:23,1285282169326379008,False,Can anyone sue #KanyeWest for using the US presidential election to promote himself? Like I feel like there should… https://t.co/OoPDsrdt4x,breamstream,,Twitter for iPhone,0,101,774,0
8477,2020-07-20 18:34:57,1285282061369188353,False,NONE OF YOU I SAW THAT BYE #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi  … https://t.co/TdfhS90KSS,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8478,2020-07-20 18:34:47,1285282021401600002,False,"#TGTupdates: Following his #SouthCarolina presidential campaign, #KanyeWest will not be on the SC ballot. 

———————… https://t.co/dFa7aKNR5U",tgtlivecast,"New York, NY",Instagram,0,33,290,0
8479,2020-07-20 18:34:43,1285282002623762432,False,I used to love #KanyeWest. Still ha love for him but goodness he needs deliverance and a therapist. Stat.,leauxko,RVA ,Twitter for iPhone,1,44,174,0
