Date,Tweet_id,Verified,Text,User,Location,Source,Likes,Followers,Following,Retweets
16-07-2020 02:58,1.2836E+18,FALSE,How twitter was hacked #twitterhacked #HackTwitter #joebiden #KanyeWest ... https://t.co/mpBCEgx7he,marioaoun,"Montreal, QC, Canada",Twitter for iPhone,2,1914,3321,2
16-07-2020 02:52,1.2836E+18,FALSE,"#KanyeWest I love your music, but no",ginam_w,"Los Altos, CA",Twitter for iPhone,0,28,86,0
16-07-2020 02:45,1.28359E+18,FALSE,"Peoples Digest Online - Rap superstar Kanye West has already bowed out of his late-entry bid for the presidency, according to a report.  #2020PresidentialElections #America #KanyeWest #USA https://t.co/1KTUWCavjP https://t.co/RQ5iMy3uet",Peoples_Digest,worldwide,Blog2Social APP,0,180,109,0
16-07-2020 02:45,1.28359E+18,FALSE,“Everyone wants to know what I would do if I didn’t win....I guess we’d never know “ said #KanyeWest while raising the winning trophy 🏆,drbenc,God’s Green Earth,Twitter for iPhone,0,322,445,0
16-07-2020 02:40,1.28359E+18,FALSE,@kanyewest is officially on the ballot to run for President in the state of Oklahoma. He wrote Donda’s Place as that’s where she was born. #KanyeWest #WESTDAYEVER #2020VISION https://t.co/VdljntSQmW,kanyewestaurant,,Twitter for iPhone,6,148,34,2
16-07-2020 02:37,1.28359E+18,FALSE,"#ElonMusk #BillGates #BarackObama #JoeBiden #Apple #KanyeWest twitter account get #Hacked in crypto scam.
Is't this strange opposition to #DonaldTrump
Twitter account only get #Hacked 
#hackedtwitter",Deepanshu949,,Twitter for Android,0,19,72,1
16-07-2020 02:37,1.28359E+18,FALSE,"#Bitcoin Scammers Massively Attacked Verified Twitter Accounts, Including #JeffBezos, #ElonMusk, #KanyeWest, #WarrenBuffett
#Apple, Obama, #Biden, #BillGates, #Uber, #Khalifa, #Bloomberg &amp; many more... and asked the millions of followers for the #bitcoin

#CyberAttack #Hacked https://t.co/BP54CnQpPT",cbinewton,Waŕ Zonè,Twitter Web App,3,1056,1017,1
16-07-2020 02:36,1.28359E+18,FALSE,"Jesus Walked. Kanye ran. Now it’s on Biden to give voters a reason to get off the couch &amp; vote. His premise so far: Not Being Donald Trump. That’s a losing premise. You have to give people something to vote for, Joe! #KanyeWest  https://t.co/QTGwuvJi7S",yesgregyes,"Chicago, Illinois",Twitter for iPhone,0,2879,4998,1
16-07-2020 02:35,1.28359E+18,FALSE,"#HalleluYah! #TWO #OLDWHITEMEN AGAINST #REPARATIONS/#NOTQUALIFIED! FOR #POTUS #TRUMP #Racist #Nazi #DumpTrump! #BANKRUPTCIES/#BIDEN #JimCrowJoe #94CrimeBill #LockedUpBlackMen! #DEMENTIA #2020VISION #BlackVote! #YE #Kanye2020
#KanyeWest2020 #KanyeWest #FristRealBlackPresident #BHM",TrinityCircle,"Miami, Florida",Twitter for Android,1,385,0,1
16-07-2020 02:35,1.28359E+18,FALSE,#HalleluYah! #YE #DEMAND! FOR #BlackVote #50TRILLION #REPARATIONS/#VENGEANCE FOR #ENSLAVED #ISRAELITES #GOLDBARS #TAXEXEMPT #40ACERS #YACHTS #AFRICANCITIZENSHIP OR #NRNV! #POTUS #2020VISION #Kanye2020 #KanyeWest2020 #KanyeWest #BHM #GEN15_13_14 #ACTS7_6_7 #DumpTrump #NoJimCrowJoe,TrinityCircle,"Miami, Florida",Twitter for Android,1,385,0,1
16-07-2020 02:30,1.28359E+18,FALSE,"This is how @twitter security works😂.
#Hacked #Obama #elonmuskhacked #KanyeWest #Bitcoin https://t.co/GcHs2PUwzM",urstrulygandhi,"Bangalore,India",Twitter for Android,10,2693,3221,3
16-07-2020 02:30,1.28359E+18,FALSE,"The Guy Named 
""Captain Jack #Bitcoin 
BlueTick Sparrow""
Helped Today To Hack 
#BarackObama, #KanyeWest, 
#ElonMusk, #BillGates, #Uber, 
#Apple &amp; Many More.... #Hacked 
#TwitterHack 😂😂😂🤑🤑🤑
(You Can See The Bird
Holding The #Bitcoins)😉 https://t.co/X2pxXZPWFp",k9aditya,IA,Twitter for Android,2,596,519,1
16-07-2020 02:27,1.28359E+18,FALSE,"Massive Twitter hack.Following popular twitter accounts hacked while few have been restored. 
#BillGates
#ElonMusk
#JoeBiden2020
#WarrenBuffet
#KanyeWest
 #MichaelBloomberg
#apple
#Uber
#JeffBezos
#BarackObama

#twitterhacked #twitterhack",naikgulzar,"Pulwama, Jammu And Kashmir",Twitter for Android,1,774,436,0
16-07-2020 02:26,1.28359E+18,FALSE,This is what happens when we don’t pay attention to a celebrity’s desperate cry for attention - they get bored and move on. If we had done that in 2016 the world would be a very different place today. #KanyeWest https://t.co/lGX7aahdE2,chelleynpark,,Twitter for iPhone,2,84,1688,0
16-07-2020 02:23,1.28359E+18,FALSE,"I know #KanyeWest is bipolar but I swear to God, if this foolishness keeps Trump in the White House another 4 years Kayne is going to have to go into the Witness Protection Program.  We can’t afford to entertain this foolishness right now. 🤦🏾‍♀️ https://t.co/ABkENEcChG https://t.co/LlAMkyukwM",TheAdvoc8te,"Washington, DC",Twitter for iPhone,1,4211,2594,0
16-07-2020 02:19,1.28359E+18,FALSE,First it was college dropout now we finna have presidential dropout 🤣🤣🤣 #KanyeWest #2020vote #presidentialelection #collegedropout #president #explorepage #lilcrunch @kanyewest,LCruncho,"Wilkes-Barre, PA",Twitter for Android,0,9,35,0
16-07-2020 02:19,1.28359E+18,FALSE,@RealDLHughley @HuffPostEnt Does that mean he thinks #KanyeWest is better than the 🍊🤡? 😂🤣😂🤣😂,mzdawna23,,Twitter for Android,0,172,667,0
16-07-2020 02:18,1.28359E+18,FALSE,DAILY EXPRESS - #autoplay_video #kanyewest #kanyewestdropout US Election 2020 SHOCK: Kanye West ‘IS running’ for President despite drop out claims https://t.co/kM6bpnvFMk,AmigoNewsUK,"Teesdale Park, Thornaby, UK",dlvr.it,0,21265,22271,0
16-07-2020 02:17,1.28359E+18,FALSE,@APEntertainment @ConnorBehrens @kanyewest Please we don't want him #kanyewest @tjharrison2 @sofiamjones,FritzOKC,"Oklahoma City, OK",Twitter for Android,1,1032,2671,0
16-07-2020 02:14,1.28359E+18,FALSE,"Twitter accounts of #JoeBiden, #BillGates, #ElonMusk, #BarackObama, #KanyeWest, #KimKardashianWest, #WarrenBuffett, #JeffBezos among others, were hacked to promote a #cryptocurrency scam https://t.co/ujBKrqYgR9",marketst0day,"Tamil Nadu, India",Twitter for Android,0,6057,57,0
16-07-2020 02:13,1.28359E+18,TRUE,"Twitter accounts of #KanyeWest, #KimKardashian, #BarackObama, and several others #hacked
.
.
.
.
#twitterhacked  #hackedtwitter #elonmuskhacked #JeffBezos #JoeBiden #BillGates 

https://t.co/UL1btyozRg",dna,India,Twitter Web App,6,2169798,371,2
16-07-2020 02:13,1.28359E+18,FALSE,"Twitter accounts of #JoeBiden, #ElonMusk #BillGates #KanyeWest #WarrenBuffett #JeffBezos #barrackobama #apple #uber hacked to run Bitcoin Scam offered to send $2000 for every $1000 sent to a #Bitcoin address 

#twitter #Hacked #scam Elon musk bill gates Kanye west Jeff bezos https://t.co/r5f0SEFEQX",akhilnaithani,"New Delhi, India",Twitter for Android,0,113,97,0
16-07-2020 02:09,1.28358E+18,FALSE,"Do you like fish sticks? Then vote for me @kanyewest 

@SouthPark #fishsticks @gortonsseafood #KanyeWest #Kanye2020 #KanyesPoliticalSlogan #kanyewestforpresident https://t.co/ix5xiEmzLA",Nashville_Todd,"Nashville, TN",Twitter for iPhone,1,348,694,1
16-07-2020 02:08,1.28358E+18,FALSE,"#KanyeWest 

Kanye: hey guys I’m running for president 

Also Kanye, like, 4 days later: https://t.co/LOsp3S0qba",antheminmyheart,listening to a record,Twitter for iPad,1,1200,551,1
16-07-2020 02:05,1.28358E+18,TRUE,Details into #KanyeWest deciding to drop out of the presidential race are coming up for you on #iHeartRadioNights - @itsshannonburns https://t.co/6N3mYxnuCO,VirginRadioWPG,Winnipeg,TweetDeck,0,48390,16331,0
16-07-2020 02:02,1.28358E+18,FALSE,Make up your mind McFly! #KanyeWest https://t.co/KWMmHAjx9A https://t.co/FTTWIa3rk1,TreyAllensworth,"Oklahoma, USA",Twitter for Android,1,1324,1250,0
16-07-2020 02:01,1.28358E+18,FALSE,College drop out?????? Presidential race drop out ???? A new Kanye West album is coming people #KanyeWest #Kanye2020 https://t.co/kaae0qFF3F,16el2nv,"Kitchener, Ontario",Twitter for iPhone,0,200,859,0
16-07-2020 01:58,1.28358E+18,FALSE,"After #Trump, here is #KanyeWest who is trying to lead.
Leadership doesn’t have any meaning anymore. https://t.co/5Vvq1mpJqF",Msabd67,"Auburn Hills, MI",Twitter for iPhone,0,6699,626,0
16-07-2020 01:55,1.28358E+18,TRUE,"High-profile Twitter accounts that were #hijacked: 
👨‍💻 #JoeBiden 
👩‍💻 #KimKardashian 
👨‍💻 #BarackObama 
👨‍💻 #ElonMusk 
👨‍💻 #KanyeWest 

https://t.co/PWZ9YlB60a",moneycontrolcom,Mumbai,Twitter Web App,29,883743,285,5
